in_fao,in_pol
Antigua and Barbuda,NA
Bahamas,NA
Barbados,NA
Belgium-Luxembourg,NA
Belize,NA
Bermuda,NA
Bolivia (Plurinational State of),Bolivia
Bosnia and Herzegovina,Bosnia
Brunei Darussalam,NA
Cabo Verde,Cape Verde
"China, Hong Kong SAR",NA
"China, Macao SAR",NA
"China, mainland",NA
"China, Taiwan Province of",NA
Congo,Congo Kinshasa
C™te d'Ivoire,Ivory Coast
Democratic People's Republic of Korea,Korea North
Dominica,NA
Ethiopia PDR,NA
French Polynesia,NA
Grenada,NA
Iceland,NA
Iran (Islamic Republic of),Iran
Kiribati,NA
Lao People's Democratic Republic,Laos
Maldives,NA
Malta,NA
Myanmar,Myanmar (Burma)
Netherlands Antilles (former),NA
New Caledonia,NA
Republic of Korea,Korea South
Republic of Moldova,Moldova
Russian Federation,Russia
Saint Kitts and Nevis,NA
Saint Lucia,NA
Saint Vincent and the Grenadines,NA
Samoa,NA
Sao Tome and Principe,NA
Slovakia,Slovak Republic
Sudan (former),Sudan
The former Yugoslav Republic of Macedonia,Macedonia
Timor-Leste,NA
United Arab Emirates,UAE
United Republic of Tanzania,Tanzania
United States of America,United States
Vanuatu,NA
Venezuela (Bolivarian Republic of),Venezuela
Viet Nam,Vietnam
Yugoslav SFR,Yugoslavia